한화생명,148454,4844,4051,921262,834741,86522,2.73,2652,null,5.18,0.46,467,17.76,10487,0.79,4,2014
한화생명,169409,5866,5300,995302,908874,86428,3.13,1701,null,6.13,0.55,610,12.11,11502,0.64,4,2015
한화생명,206661,5210,8451,1193811,1102220,91592,4.09,690,null,9.84,0.77,916,7.13,11351,0.58,4,2016
쌍용차,28638,-991,-1061,18576,10499,8077,-3.7,1173,284,-12.33,-5.8,-867,-6.13,6584,0.81,3,2012
쌍용차,34752,-106,-38,21238,12338,8900,-0.11,1522,1229,-0.45,-0.19,-29,-262.99,6487,1.16,3,2013
쌍용차,33149,-778,-506,19738,11907,7831,-1.53,1837,-1154,-6.05,-2.47,-369,-25.09,5708,1.62,3,2014
쌍용차,33856,-332,-587,20476,13218,7258,-1.73,1511,531,-7.78,-2.92,-427,-18.13,5289,1.47,3,2015
쌍용차,36263,305,568,21708,13506,8202,1.57,1275,1181,7.34,2.69,414,19.07,5977,1.32,3,2016
코라오홀딩스,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,2012
코라오홀딩스,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,2013
코라오홀딩스,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,2014
코라오홀딩스,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,2015
코라오홀딩스,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,2016
현대차2우B,431624,43052,52795,539459,169263,370197,12.23,16573,54834,15.18,10.13,18494,11.81,136342,1.6,3,2012
현대차2우B,416912,37210,51815,577142,157620,419522,12.43,18158,45791,13.12,9.28,18150,13.03,154508,1.53,3,2013
현대차2우B,430459,37355,49137,613434,156814,456620,11.42,20775,39146,11.22,8.25,17212,9.82,168715,1,3,2014
현대차2우B,444397,42673,54355,669782,172815,496968,12.23,70459,5627,11.4,8.47,19040,7.83,184976,0.81,3,2015
현대차2우B,417136,26995,41019,698509,172712,525797,9.83,19008,30687,8.02,6,14368,10.16,195716,0.75,3,2016
현대차우,431624,43052,52795,539459,169263,370197,12.23,16573,54834,15.18,10.13,18494,11.81,136342,1.6,3,2012
현대차우,416912,37210,51815,577142,157620,419522,12.43,18158,45791,13.12,9.28,18150,13.03,154508,1.53,3,2013
현대차우,430459,37355,49137,613434,156814,456620,11.42,20775,39146,11.22,8.25,17212,9.82,168715,1,3,2014
현대차우,444397,42673,54355,669782,172815,496968,12.23,70459,5627,11.4,8.47,19040,7.83,184976,0.81,3,2015
현대차우,417136,26995,41019,698509,172712,525797,9.83,19008,30687,8.02,6,14368,10.16,195716,0.75,3,2016
현대차3우B,431624,43052,52795,539459,169263,370197,12.23,16573,54834,15.18,10.13,18494,11.81,136342,1.6,3,2012
현대차3우B,416912,37210,51815,577142,157620,419522,12.43,18158,45791,13.12,9.28,18150,13.03,154508,1.53,3,2013
현대차3우B,430459,37355,49137,613434,156814,456620,11.42,20775,39146,11.22,8.25,17212,9.82,168715,1,3,2014
현대차3우B,444397,42673,54355,669782,172815,496968,12.23,70459,5627,11.4,8.47,19040,7.83,184976,0.81,3,2015
현대차3우B,417136,26995,41019,698509,172712,525797,9.83,19008,30687,8.02,6,14368,10.16,195716,0.75,3,2016
광림,853,13,6,898,263,635,0.69,6,21,0.98,0.67,19,53.6,1666,0.6,3,2012
